retailer_code,SKU,barcode,available_stock,direct_url,country_id
1234,,5407008891848,10,https://www.ruitersport-levade.nl/product/kentucky-horsewear-middle-brush-long-natural/,528
1234,,8710001052343,15,https://www.ruitersport-levade.nl/product/kentucky-horsewear-hoof-pick/,528
1234,,,,https://www.ruitersport-levade.nl/product/kentucky-horsewear-sheepskin-shipping-halter-grijs/,528
1234,,5407008890964,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-sheepskin-shipping-halter-grijs/?attribute_pa_halster-maat=cob,528
1234,,5407008890957,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-sheepskin-shipping-halter-grijs/?attribute_pa_halster-maat=full,528
1234,,x,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-sheepskin-shipping-halter-grijs/?attribute_pa_halster-maat=pony,528
1234,,5407007539031,5,https://www.ruitersport-levade.nl/product/kentucky-horsewear-horse-bib-borst-bescherming-bont-zwart/,528
1234,,5407007539048,7,https://www.ruitersport-levade.nl/product/kentucky-horsewear-horse-bib-schoft-bescherming-bont-zwart/,528
1234,,5407008890780,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-polar-fleece-bandages-oranje/,528
1234,,5407008890797,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-polar-fleece-bandages-rood/,528
1234,,5407008890773,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-polar-fleece-bandages-fuchsia/,528
1234,,5407007533220,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-color-edition-leather-marine/,528
1234,,5407007533190,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-color-edition-leather-koraal/,528
1234,,5407007533206,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-color-edition-leather-munt/,528
1234,,5407008890902,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-velvet-pearls-dressage-zwart/,528
1234,,5407008890926,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-velvet-pearls-dressage-marine/,528
1234,,5407008890940,3,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-velvet-pearls-dressage-soft-rose/,528
1234,,5407008890933,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-velvet-pearls-dressage-dennengroen/,528
1234,,5407008890919,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-velvet-pearls-dressage-beige/,528
1234,,5407007533213,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-color-edition-leather-olijfgroen/,528
1234,,5407008890742,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-basic-velvet-dressage-oranje/,528
1234,,5407008890766,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-zadeldek-basic-velvet-dressage-fuchsia/,528
1234,,2500000395819,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-tack-box/,528
1234,,,,https://www.ruitersport-levade.nl/product/kentucky-horsewear-skin-friendly-150g/,528
1234,,,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-skin-friendly-150g/?attribute_pa_dekens-maat=6-3-190,528
1234,,,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-skin-friendly-150g/?attribute_pa_dekens-maat=6-6-198,528
1234,,,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-skin-friendly-150g/?attribute_pa_dekens-maat=6-9-206,528
1234,,,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-skin-friendly-150g/?attribute_pa_dekens-maat=7-0-213,528
1234,,5407007539253,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-grooming-deluxe-chestnut-boot-bag/,528
1234,,5407007539246,3,https://www.ruitersport-levade.nl/product/kentucky-horsewear-grooming-deluxe-chestnut-captas/,528
1234,,,,https://www.ruitersport-levade.nl/product/kentucky-horsewear-show-rug-velvet-160g-emerald/,528
1234,,5407008892203,1,https://www.ruitersport-levade.nl/product/kentucky-horsewear-show-rug-velvet-160g-emerald/?attribute_pa_kleur=klowie-da32ecab00cdd3a4cfccfe58a62338d64fbe94a2&attribute_pa_maat=klowie-2159a29c32f14c7ffd92d92af4310070aef0622f,528
1234,,5407008892210,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-show-rug-velvet-160g-emerald/?attribute_pa_kleur=klowie-da32ecab00cdd3a4cfccfe58a62338d64fbe94a2&attribute_pa_maat=klowie-75c41cf137a9a31823a6e465d81658ce9077457c,528
1234,,,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-show-rug-velvet-160g-emerald/?attribute_pa_dekens-maat=7-0-213,528
1234,,5407008892760,3,https://www.ruitersport-levade.nl/product/kentucky-horsewear-poetstas-marineblauw/,528
1234,,5407008892784,2,https://www.ruitersport-levade.nl/product/kentucky-horsewear-poetstas-grijs/,528
1234,,5407008892777,4,https://www.ruitersport-levade.nl/product/kentucky-horsewear-poetstas-zwart/,528
1234,,,,https://www.ruitersport-levade.nl/product/kentucky-horsewear-magnetic-rug-recuptex/,528
1234,,,0,https://www.ruitersport-levade.nl/product/kentucky-horsewear-magnetic-rug-recuptex/?attribute_pa_dekens-maat=5-9-175,528
